,class,spec_n,char_name,score,spec_name,spec_short2,spec_short
0,Death Knight,spec_0,Beardzdk,0.0,Blood,BLD,Blood
1,Death Knight,spec_0,Dcfnight,0.0,Blood,BLD,Blood
2,Death Knight,spec_0,Dingplague,0.0,Blood,BLD,Blood
3,Death Knight,spec_0,Eesod,668.6,Blood,BLD,Blood
4,Death Knight,spec_0,Fannybaws,0.0,Blood,BLD,Blood
5,Death Knight,spec_0,Lilbitodeath,0.0,Blood,BLD,Blood
6,Death Knight,spec_0,Limbô,0.0,Blood,BLD,Blood
7,Death Knight,spec_0,Miscknight,0.0,Blood,BLD,Blood
8,Death Knight,spec_0,Undeadned,0.0,Blood,BLD,Blood
9,Death Knight,spec_1,Beardzdk,0.0,Frost,FRST,Frost
10,Death Knight,spec_1,Dcfnight,0.0,Frost,FRST,Frost
11,Death Knight,spec_1,Dingplague,0.0,Frost,FRST,Frost
12,Death Knight,spec_1,Eesod,0.0,Frost,FRST,Frost
13,Death Knight,spec_1,Fannybaws,0.0,Frost,FRST,Frost
14,Death Knight,spec_1,Lilbitodeath,0.0,Frost,FRST,Frost
15,Death Knight,spec_1,Limbô,0.0,Frost,FRST,Frost
16,Death Knight,spec_1,Miscknight,0.0,Frost,FRST,Frost
17,Death Knight,spec_1,Undeadned,0.0,Frost,FRST,Frost
18,Death Knight,spec_2,Beardzdk,0.0,Unholy,UNH,Unholy
19,Death Knight,spec_2,Dcfnight,0.0,Unholy,UNH,Unholy
20,Death Knight,spec_2,Dingplague,0.0,Unholy,UNH,Unholy
21,Death Knight,spec_2,Eesod,0.0,Unholy,UNH,Unholy
22,Death Knight,spec_2,Fannybaws,0.0,Unholy,UNH,Unholy
23,Death Knight,spec_2,Lilbitodeath,0.0,Unholy,UNH,Unholy
24,Death Knight,spec_2,Limbô,0.0,Unholy,UNH,Unholy
25,Death Knight,spec_2,Miscknight,0.0,Unholy,UNH,Unholy
26,Death Knight,spec_2,Undeadned,0.0,Unholy,UNH,Unholy
27,Demon Hunter,spec_0,Demonichoe,0.0,Havoc,HVC,Havoc
28,Demon Hunter,spec_0,Dingorphosis,0.0,Havoc,HVC,Havoc
29,Demon Hunter,spec_0,Felviv,0.0,Havoc,HVC,Havoc
